File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 1119: executed 1 times, time 0.00000000 sec
  Line 1120: executed 1 times, time 0.00000000 sec
  Line 1124: executed 1 times, time 0.00000000 sec
  Line 1125: executed 1 times, time 0.00000000 sec
  Line 1126: executed 1 times, time 0.00000000 sec
  Line 1130: executed 807 times, time 0.00002503 sec
  Line 1131: executed 807 times, time 0.00001693 sec
  Line 1132: executed 806 times, time 0.00002575 sec
  Line 1145: executed 1 times, time 0.00000000 sec
  Line 1146: executed 2 times, time 0.00000000 sec
  Line 1147: executed 1 times, time 0.00000000 sec
  Line 1148: executed 1 times, time 0.00000000 sec
  Line 1149: executed 1 times, time 0.00000000 sec
  Line 1150: executed 2 times, time 0.00000000 sec
  Line 1151: executed 1 times, time 0.00000000 sec
  Line 1152: executed 1 times, time 0.00000000 sec
  Line 1154: executed 1 times, time 0.00000000 sec
  Line 1156: executed 1 times, time 0.00000000 sec
  Line 1161: executed 1 times, time 0.00000000 sec
  Line 1162: executed 1 times, time 0.00000000 sec
  Line 1163: executed 1 times, time 0.00000000 sec
  Line 1167: executed 1 times, time 0.00000000 sec
  Line 1168: executed 1 times, time 0.00000000 sec
  Line 1169: executed 1 times, time 0.00000000 sec
  Line 1173: executed 1 times, time 0.00000000 sec
  Line 1174: executed 1 times, time 0.00000000 sec
  Line 1175: executed 1 times, time 0.00000000 sec
  Line 1176: executed 1 times, time 0.00000000 sec
  Line 1224: executed 3252 times, time 0.00011039 sec
  Line 1228: executed 3252 times, time 0.00010800 sec
  Line 1233: executed 1 times, time 0.00000000 sec
  Line 1234: executed 1 times, time 0.00000000 sec
  Line 1236: executed 1 times, time 0.00000000 sec
  Line 1237: executed 1 times, time 0.00000000 sec
  Line 1242: executed 809 times, time 0.00002074 sec
  Line 1243: executed 809 times, time 0.00002527 sec
  Line 1248: executed 809 times, time 0.00002050 sec
  Line 1254: executed 809 times, time 0.00001502 sec
  Line 1255: executed 3275 times, time 0.00010228 sec
  Line 1256: executed 6504 times, time 0.00019026 sec
  Line 1257: executed 3252 times, time 0.00008631 sec
