time,cash,total_value,positions
2019-01-02T10:48:14.120000,1000000.00,1000000.00,{}
2019-01-02T10:48:17.140000,1000000.00,1000000.00,{}
2019-01-02T10:48:20.250000,1000000.00,1000000.00,{}
2019-01-02T10:48:21.310000,1000000.00,1000000.00,{}
2019-01-02T10:48:29.750000,1000000.00,1000000.00,{}
2019-01-02T10:48:29.930000,1000000.00,1000000.00,{}
2019-01-02T10:48:31.230000,1000000.00,1000000.00,{}
2019-01-02T10:48:32.750000,1000000.00,1000000.00,{}
2019-01-02T10:48:34.810000,1000000.00,1000000.00,{}
2019-01-02T10:48:36.160000,1000000.00,1000000.00,{}
2019-01-02T10:48:41.530000,1000000.00,1000000.00,{}
2019-01-02T10:48:42.210000,1000000.00,1000000.00,{}
2019-01-02T10:48:42.670000,1000000.00,1000000.00,{}
2019-01-02T10:48:42.700000,1000000.00,1000000.00,{}
2019-01-02T10:48:53.320000,1000000.00,1000000.00,{}
2019-01-02T10:48:53.700000,1000000.00,1000000.00,{}
2019-01-02T10:48:54.630000,1000000.00,1000000.00,{}
2019-01-02T10:48:56.950000,1000000.00,1000000.00,{}
2019-01-02T10:48:59.100000,1000000.00,1000000.00,{}
2019-01-02T10:49:00.630000,1000000.00,1000000.00,{}
2019-01-02T10:49:02.240000,1000000.00,1000000.00,{}
2019-01-02T10:49:02.240000,1000000.00,1000000.00,{}
2019-01-02T10:49:04.370000,1000000.00,1000000.00,{}
2019-01-02T10:49:10.350000,1000000.00,1000000.00,{}
2019-01-02T10:49:12.250000,1000000.00,1000000.00,{}
2019-01-02T10:49:12.720000,1000000.00,1000000.00,{}
2019-01-02T10:49:14.040000,1000000.00,1000000.00,{}
2019-01-02T10:49:15.380000,1000000.00,1000000.00,{}
2019-01-02T10:49:18.690000,1000000.00,1000000.00,{}
2019-01-02T10:49:26.220000,1000000.00,1000000.00,{}
2019-01-02T10:49:26.300000,1000000.00,1000000.00,{}
2019-01-02T10:49:27.630000,1000000.00,1000000.00,{}
2019-01-02T10:49:30.440000,1000000.00,1000000.00,{}
2019-01-02T10:49:30.740000,1000000.00,1000000.00,{}
2019-01-02T10:49:32.050000,1000000.00,1000000.00,{}
2019-01-02T10:49:35.110000,1000000.00,1000000.00,{}
2019-01-02T10:49:36.280000,1000000.00,1000000.00,{}
2019-01-02T10:49:37.280000,1000000.00,1000000.00,{}
2019-01-02T10:49:38.120000,1000000.00,1000000.00,{}
2019-01-02T10:49:43.030000,1000000.00,1000000.00,{}
2019-01-02T10:49:43.180000,1000000.00,1000000.00,{}
2019-01-02T10:49:44.240000,1000000.00,1000000.00,{}
2019-01-02T10:49:45.700000,1000000.00,1000000.00,{}
2019-01-02T10:49:47.230000,1000000.00,1000000.00,{}
2019-01-02T10:49:47.250000,1000000.00,1000000.00,{}
2019-01-02T10:49:48.440000,1000000.00,1000000.00,{}
2019-01-02T10:49:48.440000,1000000.00,1000000.00,{}
2019-01-02T10:49:52.050000,1000000.00,1000000.00,{}
2019-01-02T10:49:52.540000,1000000.00,1000000.00,{}
2019-01-02T10:49:52.840000,1000000.00,1000000.00,{}
2019-01-02T10:49:53.190000,1000000.00,1000000.00,{}
2019-01-02T10:49:57.470000,1000000.00,1000000.00,{}
2019-01-02T10:49:59.340000,1000000.00,1000000.00,{}
2019-01-02T10:50:00.060000,1000000.00,1000000.00,{}
2019-01-02T10:50:03.480000,1000000.00,1000000.00,{}
2019-01-02T10:50:06.030000,1000000.00,1000000.00,{}
2019-01-02T10:50:06.250000,1000000.00,1000000.00,{}
2019-01-02T10:50:06.250000,1000000.00,1000000.00,{}
2019-01-02T10:50:06.250000,1000000.00,1000000.00,{}
2019-01-02T10:50:06.390000,1000000.00,1000000.00,{}
2019-01-02T10:50:08.220000,1000000.00,1000000.00,{}
2019-01-02T10:50:08.240000,1000000.00,1000000.00,{}
2019-01-02T10:50:08.730000,1000000.00,1000000.00,{}
2019-01-02T10:50:09.100000,1000000.00,1000000.00,{}
2019-01-02T10:50:09.160000,1000000.00,1000000.00,{}
2019-01-02T10:50:10.310000,1000000.00,1000000.00,{}
2019-01-02T10:50:11.110000,1000000.00,1000000.00,{}
2019-01-02T10:50:11.290000,1000000.00,1000000.00,{}
2019-01-02T10:50:12.380000,1000000.00,1000000.00,{}
2019-01-02T10:50:12.560000,1000000.00,1000000.00,{}
2019-01-02T10:50:15.860000,1000000.00,1000000.00,{}
2019-01-02T10:50:16.670000,1000000.00,1000000.00,{}
